Topic,Fecha,Lineas,FC Ok,NC Flags,AI0 Min,AI0 Max,COUNT Min,COUNT Max,COUNT1 Min,COUNT1 Max,AI1 Min,AI1 Max,EXTPWR Min,EXTPWR Max
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-19,3,true,map[AI0:3 COUNT:3 EXTPWR:3],13.38,34.97,1961.00,1961.00,,,,,11.79,18.02
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-20,0,true,map[],,,,,,,,,,
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-21,4,true,map[AI0:4 COUNT:4 EXTPWR:4],7.78,25.24,1961.00,1961.00,,,,,13.74,15.27
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-22,10,true,map[AI0:10 COUNT:10 EXTPWR:10],18.95,44.29,1961.00,1961.00,,,,,11.06,15.43
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-23,6,true,map[AI0:6 COUNT:6 EXTPWR:6],12.17,61.40,1961.00,1961.00,,,,,11.24,13.88
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-24,26,true,map[AI0:26 COUNT:26 EXTPWR:26],2.79,61.65,1961.00,1961.00,,,,,9.48,18.18
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-25,8,true,map[AI0:8 COUNT:8 EXTPWR:8],31.35,69.10,1961.00,1961.00,,,,,10.80,17.82
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-26,7,true,map[AI0:7 COUNT:7 EXTPWR:7],18.53,77.61,1961.00,1961.00,,,,,10.20,13.79
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-27,3,true,map[AI0:3 COUNT:3 EXTPWR:3],26.74,35.52,1961.00,1961.00,,,,,10.25,13.70
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-28,3,true,map[AI0:3 COUNT:3 EXTPWR:3],14.23,100.00,1961.00,1961.00,,,,,11.71,13.74
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-29,9,true,map[AI0:9 COUNT:9 EXTPWR:9],100.00,100.00,1961.00,1961.00,,,,,10.40,17.17
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-06-30,1,true,map[AI0:1 COUNT:1 EXTPWR:1],100.00,100.00,1961.00,1961.00,,,,,12.93,12.93
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-01,3,true,map[AI0:3 COUNT:3 EXTPWR:3],100.00,100.00,1961.00,1961.00,,,,,12.26,13.73
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-02,4,true,map[AI0:4 COUNT:4 EXTPWR:4],100.00,100.00,1961.00,1961.00,,,,,10.11,10.56
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-03,18,true,map[AI0:18 COUNT:18 EXTPWR:18],100.00,100.00,1961.00,1961.00,,,,,2.30,17.49
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-04,2,true,map[AI0:2 COUNT:2 EXTPWR:2],100.00,100.00,1961.00,1961.00,,,,,13.38,13.45
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-05,4,true,map[AI0:4 COUNT:4 EXTPWR:4],100.00,100.00,1961.00,1961.00,,,,,2.32,13.62
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-06,5,true,map[AI0:5 COUNT:5 EXTPWR:5],100.00,100.00,1961.00,1961.00,,,,,10.54,16.06
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-07,4,true,map[AI0:4 COUNT:4 EXTPWR:4],100.00,100.00,1961.00,1961.00,,,,,9.23,18.57
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-08,1,true,map[AI0:1 COUNT:1 EXTPWR:1],100.00,100.00,1961.00,1961.00,,,,,12.39,12.39
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-09,0,true,map[],,,,,,,,,,
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-10,0,true,map[],,,,,,,,,,
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-11,0,true,map[],,,,,,,,,,
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-12,30,true,map[AI0:30 COUNT:30 EXTPWR:30],100.00,100.00,1961.00,1961.00,,,,,10.74,17.51
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-13,1,true,map[AI0:1 COUNT:1 EXTPWR:1],100.00,100.00,1961.00,1961.00,,,,,12.95,12.95
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-14,2,true,map[AI0:2 COUNT:2 EXTPWR:2],100.00,100.00,1961.00,1961.00,,,,,9.71,13.67
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-15,0,true,map[],,,,,,,,,,
528a736b-a589-497a-9e9f-4bb5179d8ff2,2024-07-16,6,true,map[AI0:6 COUNT:6 EXTPWR:6],100.00,100.00,1961.00,1961.00,,,,,11.35,12.52
