Topic,Fecha,Lineas,FC Ok,NC Flags,AI0 Min,AI0 Max,COUNT Min,COUNT Max,COUNT1 Min,COUNT1 Max,AI1 Min,AI1 Max,EXTPWR Min,EXTPWR Max
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-19,288,true,map[AI0:288 EXTPWR:288],44.67,44.87,0.00,0.00,,,,,12.20,13.74
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-20,290,true,map[AI0:290 EXTPWR:290],44.65,44.90,0.00,0.00,,,,,12.35,12.78
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-21,301,true,map[AI0:301 EXTPWR:301],44.78,45.19,0.00,0.00,,,,,12.17,13.67
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-22,289,true,map[AI0:289 EXTPWR:289],45.19,45.40,0.00,0.00,,,,,12.30,13.72
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-23,288,true,map[AI0:288 EXTPWR:288],45.38,45.52,0.00,0.00,,,,,12.33,13.76
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-24,288,true,map[AI0:288 EXTPWR:288],45.45,45.53,0.00,0.00,,,,,12.31,13.66
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-25,289,true,map[AI0:289 EXTPWR:289],45.32,45.50,0.00,0.00,,,,,12.14,13.70
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-26,289,true,map[AI0:289 EXTPWR:289],45.36,45.53,0.00,0.00,,,,,12.26,13.67
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-27,288,true,map[AI0:288 EXTPWR:288],45.41,45.50,0.00,0.00,,,,,12.39,13.72
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-28,290,true,map[AI0:290 EXTPWR:290],45.24,45.49,0.00,0.00,,,,,12.25,13.74
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-29,288,true,map[AI0:288 EXTPWR:288],45.38,45.49,0.00,0.00,,,,,12.38,13.71
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-06-30,289,true,map[AI0:289 EXTPWR:289],45.37,45.47,0.00,0.00,,,,,12.22,13.70
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-01,288,true,map[AI0:288 EXTPWR:288],45.34,45.46,0.00,0.00,,,,,12.24,13.72
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-02,288,true,map[AI0:288 EXTPWR:288],45.25,45.40,0.00,0.00,,,,,12.38,13.75
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-03,299,true,map[AI0:299 EXTPWR:299],45.22,45.36,0.00,0.00,,,,,12.42,13.74
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-04,288,true,map[AI0:288 EXTPWR:288],45.15,45.33,0.00,0.00,,,,,12.19,13.73
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-05,289,true,map[AI0:289 EXTPWR:289],45.13,45.31,0.00,0.00,,,,,12.24,13.72
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-06,292,true,map[AI0:292 EXTPWR:292],45.13,45.26,0.00,0.00,,,,,12.22,13.73
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-07,289,true,map[AI0:289 EXTPWR:289],45.14,45.26,0.00,0.00,,,,,12.15,13.73
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-08,290,true,map[AI0:290 EXTPWR:290],45.00,45.21,0.00,0.00,,,,,12.18,13.69
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-09,289,true,map[AI0:289 EXTPWR:289],45.00,45.17,0.00,0.00,,,,,12.17,13.64
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-10,288,true,map[AI0:288 EXTPWR:288],44.97,45.12,0.00,0.00,,,,,12.18,13.72
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-11,288,true,map[AI0:288 EXTPWR:288],44.98,45.11,0.00,0.00,,,,,12.27,13.72
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-12,289,true,map[AI0:289 EXTPWR:289],45.04,45.14,0.00,0.00,,,,,12.27,13.74
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-13,291,true,map[AI0:291 EXTPWR:291],44.98,45.13,0.00,0.00,,,,,12.26,13.73
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-14,288,true,map[AI0:288 EXTPWR:288],45.03,45.07,0.00,0.00,,,,,12.35,13.66
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-15,291,true,map[AI0:291 EXTPWR:291],44.97,45.05,0.00,0.00,,,,,12.34,13.68
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-16,289,true,map[AI0:289 EXTPWR:289],44.90,45.09,0.00,0.00,,,,,12.23,13.70
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-17,288,true,map[AI0:288 EXTPWR:288],44.94,45.07,0.00,0.00,,,,,12.34,13.74
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-18,287,true,map[AI0:287 EXTPWR:287],44.89,45.01,0.00,0.00,,,,,12.42,13.73
5c1b28f2-4e44-4009-8fbc-964fa7a0c957,2024-07-19,288,true,map[AI0:288 EXTPWR:288],44.84,45.01,0.00,0.00,,,,,12.20,13.71
