Topic,Fecha,Lineas,FC Ok,NC Flags,AI0 Min,AI0 Max,COUNT Min,COUNT Max,COUNT1 Min,COUNT1 Max,AI1 Min,AI1 Max,EXTPWR Min,EXTPWR Max
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-19,8,true,map[AI1:8 COUNT:8 COUNT1:8 EXTPWR:8],,,348909.00,349869.00,1413012.00,1413012.00,29.96,100.00,9.59,16.22
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-20,0,true,map[],,,,,,,,,,
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-21,6,true,map[AI1:6 COUNT:6 COUNT1:6 EXTPWR:6],,,351425.00,352036.00,1413012.00,1413012.00,77.56,100.00,11.40,15.89
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-22,9,true,map[AI1:9 COUNT:9 COUNT1:9 EXTPWR:9],,,352759.00,354775.00,1413012.00,1413012.00,64.55,100.00,11.06,14.37
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-23,11,true,map[AI1:11 COUNT:11 COUNT1:11 EXTPWR:11],,,355177.00,355177.00,1413012.00,1413012.00,100.00,100.00,13.23,13.74
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-24,4,true,map[AI1:4 COUNT:4 COUNT1:4 EXTPWR:4],,,356700.00,356725.00,1413012.00,1413012.00,71.20,100.00,11.01,16.00
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-25,12,true,map[AI1:12 COUNT:12 COUNT1:12 EXTPWR:12],,,357871.00,364035.00,1413012.00,1413012.00,51.52,100.00,9.46,16.89
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-26,10,true,map[AI1:10 COUNT:10 COUNT1:10 EXTPWR:10],,,364944.00,364958.00,1413012.00,1413012.00,59.32,98.01,10.99,16.45
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-27,3,true,map[AI1:3 COUNT:3 COUNT1:3 EXTPWR:3],,,366853.00,367130.00,1413012.00,1413012.00,53.84,100.00,9.36,14.93
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-28,17,true,map[AI1:17 COUNT:17 COUNT1:17 EXTPWR:17],,,367376.00,367376.00,1413012.00,1413012.00,84.34,100.00,2.33,14.00
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-29,9,true,map[AI1:9 COUNT:9 COUNT1:9 EXTPWR:9],,,368251.00,368458.00,1413012.00,1413012.00,70.07,100.00,10.92,16.96
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-06-30,11,true,map[AI1:11 COUNT:11 COUNT1:11 EXTPWR:11],,,369189.00,369189.00,1413012.00,1413012.00,100.00,100.00,12.92,13.76
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-01,11,true,map[AI1:11 COUNT:11 COUNT1:11 EXTPWR:11],,,369932.00,369932.00,1413012.00,1413012.00,72.78,100.00,2.30,13.74
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-02,9,true,map[AI1:9 COUNT:9 COUNT1:9 EXTPWR:9],,,373852.00,374143.00,1413012.00,1413012.00,79.20,100.00,11.01,18.77
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-03,14,true,map[AI1:14 COUNT:14 COUNT1:14 EXTPWR:14],,,375649.00,376945.00,1413012.00,1413012.00,64.21,100.00,12.69,17.93
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-04,10,true,map[AI1:10 COUNT:10 COUNT1:10 EXTPWR:10],,,377718.00,377718.00,1413012.00,1413012.00,96.42,100.00,13.41,14.03
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-05,10,true,map[AI1:10 COUNT:10 COUNT1:10 EXTPWR:10],,,378403.00,378403.00,1413012.00,1413012.00,79.45,100.00,12.10,14.36
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-06,7,true,map[AI1:7 COUNT:7 COUNT1:7 EXTPWR:7],,,380780.00,380790.00,1413012.00,1413012.00,100.00,100.00,13.72,16.26
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-07,9,true,map[AI1:9 COUNT:9 COUNT1:9 EXTPWR:9],,,381988.00,382967.00,1413012.00,1413012.00,67.55,100.00,11.00,17.44
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-08,5,true,map[AI1:5 COUNT:5 COUNT1:5 EXTPWR:5],,,388899.00,388901.00,1413012.00,1413012.00,72.61,100.00,11.39,16.02
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-09,0,true,map[],,,,,,,,,,
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-10,0,true,map[],,,,,,,,,,
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-11,0,true,map[],,,,,,,,,,
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-12,1957,false,map[AI0:1912 AI1:45 COUNT:45 COUNT1:1834 EXTPWR:1957],4009.46,100000.00,388901.00,393792.00,357763.00,1413012.00,25.40,100.00,10.86,16.55
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-13,16,false,map[AI1:15 COUNT:16 COUNT1:16 EXTPWR:16],,,393842.00,394302.00,1413012.00,1413012.00,0.00,90.47,9.97,15.24
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-14,0,true,map[],,,,,,,,,,
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-15,4,false,map[AI1:3 COUNT:4 COUNT1:4 EXTPWR:4],,,394483.00,394781.00,1413012.00,1413012.00,0.00,33.57,10.29,16.79
7267b1c8-81c9-4cfb-b6e9-ad2695cf8279,2024-07-16,14,false,map[AI1:9 COUNT:14 COUNT1:14 EXTPWR:14],,,395101.00,395208.00,1413012.00,1413012.00,0.00,18.97,2.34,15.11
