Topic,Fecha,Lineas,FC Ok,NC Flags,AI0 Min,AI0 Max,COUNT Min,COUNT Max,COUNT1 Min,COUNT1 Max,AI1 Min,AI1 Max,EXTPWR Min,EXTPWR Max
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-19,1225,true,map[AI0:1225 COUNT:1225 COUNT1:1225 EXTPWR:1225],6228.50,11892.97,22938.00,22943.00,615212016.00,615212016.00,,,0.03,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-20,1441,true,map[AI0:1441 COUNT:1441 COUNT1:1441 EXTPWR:1441],6125.64,12003.80,22943.00,22950.00,615212016.00,615212016.00,,,12.16,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-21,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],11971.08,12419.24,22950.00,22950.00,615212016.00,615212016.00,,,12.18,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-22,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6583.30,12705.00,22950.00,22962.00,615212016.00,615212016.00,,,12.18,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-23,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6879.98,12921.79,22962.00,22968.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-24,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],5816.02,12965.00,22968.00,23085.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-25,1440,true,map[AI0:1440 COUNT:1440 COUNT1:1440 EXTPWR:1440],6794.21,13014.73,23085.00,23098.00,615212016.00,615212016.00,,,12.18,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-26,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6536.12,13046.08,23098.00,23110.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-27,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6566.12,13061.45,23110.00,23123.00,615212016.00,615212016.00,,,12.18,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-28,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6597.34,13057.85,23123.00,23136.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-29,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6530.05,13054.85,23136.00,23152.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-06-30,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],12943.33,13045.59,23152.00,23152.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-01,1440,true,map[AI0:1440 COUNT:1440 COUNT1:1440 EXTPWR:1440],6483.36,13002.85,23152.00,23184.00,615212016.00,615212016.00,,,0.03,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-02,1448,true,map[AI0:1448 COUNT:1448 COUNT1:1448 EXTPWR:1448],6736.20,13006.22,23184.00,23193.00,615212016.00,615212016.00,,,0.03,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-03,1459,true,map[AI0:1459 COUNT:1459 COUNT1:1459 EXTPWR:1459],6582.02,12950.38,23193.00,23204.00,615212016.00,615212016.00,,,12.18,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-04,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6679.23,12956.59,23204.00,23215.00,615212016.00,615212016.00,,,12.17,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-05,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],6010.98,12891.23,23215.00,23328.00,615212016.00,615212016.00,,,12.17,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-06,1461,true,map[AI0:1461 COUNT:1461 COUNT1:1461 EXTPWR:1461],12247.61,12905.45,23328.00,23328.00,615212016.00,615212016.00,,,12.13,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-07,1731,true,map[AI0:1731 COUNT:1731 COUNT1:1731 EXTPWR:1731],7198.11,12866.48,23328.00,23329.00,615212016.00,615212016.00,,,12.12,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-08,1439,true,map[AI0:1439 COUNT:1439 COUNT1:1439 EXTPWR:1439],5614.34,12820.23,23329.00,23427.00,615212016.00,615212016.00,,,12.17,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-09,1441,true,map[AI0:1441 COUNT:1441 COUNT1:1441 EXTPWR:1441],7464.44,12782.53,23427.00,23428.00,615212016.00,615212016.00,,,12.17,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-10,1443,true,map[AI0:1443 COUNT:1443 COUNT1:1443 EXTPWR:1443],6251.92,12793.04,23428.00,23481.00,615212016.00,615212016.00,,,12.17,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-11,1446,true,map[AI0:1446 COUNT:1446 COUNT1:1446 EXTPWR:1446],6404.14,12738.09,23481.00,23501.00,615212016.00,615212016.00,,,12.16,12.20
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-12,1441,true,map[AI0:1441 COUNT:1441 COUNT1:1441 EXTPWR:1441],6585.22,12743.01,23501.00,23517.00,615212016.00,615212016.00,,,12.18,12.21
8d117b00-137d-499c-9d6f-42dd43004f32,2024-07-13,1453,true,map[AI0:1453 COUNT:1453 COUNT1:1453 EXTPWR:1453],6332.85,12675.44,23517.00,23531.00,615212016.00,615212016.00,,,12.12,12.21
